# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: E:\Quartus Projects\8bit_adder\8bit_adder.csv
# Generated on: Sun Oct 13 14:30:13 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
a[7],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
a[6],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
a[5],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
a[4],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
a[3],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
a[2],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
a[1],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
a[0],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
b[7],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
b[6],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
b[5],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
b[4],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
b[3],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
b[2],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
b[1],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
b[0],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
cin,Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
cout,Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
sum[7],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
sum[6],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
sum[5],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
sum[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
sum[3],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
sum[2],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
sum[1],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,
sum[0],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,
